STATE,longitude,latitude,wind_speed (m/s),distance_to_seashore (km),elevation (m),temperature (C),humidity (%),air_density (kg/m^3),,
JAMMU AND KASHMIR,76.71541427,33.93911,4.219003,1340.166607,4673,21,65,1.12,,
JAMMU AND KASHMIR,76.4967152,33.91073017,6.2642565,1331.381762,5221,21,65,1.12,,
JAMMU AND KASHMIR,77.49648398,33.59133714,3.7330494,1327.222965,4635,21,65,1.12,,
JAMMU AND KASHMIR,76.2706055,34.1516485,6.558625,1325.630073,4800,21,65,1.12,,
JAMMU AND KASHMIR,75.97401631,34.29372468,2.7281816,1328.54626,2980,21,65,1.12,,
JAMMU AND KASHMIR,77.31588424,32.85067637,10.632418,1244.513402,5621,21,65,1.12,,
JAMMU AND KASHMIR,76.38895684,33.89555607,5.2089176,1304.862454,5258,21,65,1.12,,
JAMMU AND KASHMIR,75.6788905,34.46882344,6.6012306,1335.739927,4406,21,65,1.12,,
JAMMU AND KASHMIR,77.16397643,33.10846525,6.0500255,1266.220981,5522,21,65,1.12,,
JAMMU AND KASHMIR,75.8847173,34.43147315,1.6238271,1339.259448,3397,21,65,1.12,,
JAMMU AND KASHMIR,77.30723314,33.03253759,9.181662,1263.034806,5452,21,65,1.12,,
JAMMU AND KASHMIR,75.611412,34.33638653,5.4259667,1319.793068,4109,21,65,1.12,,
JAMMU AND KASHMIR,77.03553089,33.04419949,5.4229474,1255.43014,4361,21,65,1.12,,
JAMMU AND KASHMIR,77.08431072,34.47151683,4.2306848,1406.781426,5052,21,65,1.12,,
JAMMU AND KASHMIR,78.48416494,33.09062102,9.049777,1312.676466,5832,21,65,1.12,,
JAMMU AND KASHMIR,78.51016648,33.74899799,9.091378,1379.730712,6177,21,65,1.12,,
JAMMU AND KASHMIR,78.08994118,34.06470734,4.8527713,1396.284873,5359,21,65,1.12,,
JAMMU AND KASHMIR,76.83157283,33.94759413,5.9504695,1344.341251,5251,21,65,1.12,,
JAMMU AND KASHMIR,77.63775917,35.0620359,13.408929,1484.971064,6135,21,65,1.12,,
JAMMU AND KASHMIR,77.47296504,33.12074888,3.1966279,1277.758535,4273,21,65,1.12,,
JAMMU AND KASHMIR,77.74954844,34.19238523,6.9658422,1397.857793,5449,21,65,1.12,,
JAMMU AND KASHMIR,77.72696674,32.93810892,3.4377992,1267.994889,4683,21,65,1.12,,
JAMMU AND KASHMIR,78.40522744,33.07564198,5.608264,1307.977857,5593,21,65,1.12,,
JAMMU AND KASHMIR,78.22356759,33.56165792,3.9781375,1349.853316,4815,21,65,1.12,,
JAMMU AND KASHMIR,77.72195891,34.83177363,11.38882,1463.490196,6347,21,65,1.12,,
JAMMU AND KASHMIR,77.90510817,33.53681421,7.0022087,1335.642848,5203,21,65,1.12,,
JAMMU AND KASHMIR,78.02487912,33.72885703,2.5815988,1359.581674,4596,21,65,1.12,,
JAMMU AND KASHMIR,78.471037,33.4912607,6.5343337,1352.267503,5486,21,65,1.12,,
HIMACHAL PRADESH,77.77343692,32.79004423,4.0004754,1254.619631,5006,21,65,1.12,,
HIMACHAL PRADESH,77.67684445,32.6501018,5.954561,1236.780371,5214,21,65,1.12,,
HIMACHAL PRADESH,76.50506516,32.74376096,4.7901936,1207.884338,2137,21,65,1.12,,
HIMACHAL PRADESH,78.04005099,32.46964251,6.709313,1232.590965,5616,21,65,1.12,,
HIMACHAL PRADESH,77.13992237,32.75158787,2.534683,1228.347068,3815,21,65,1.12,,
HIMACHAL PRADESH,78.25355905,32.32432912,2.8571212,1226.892593,4651,21,65,1.12,,
HIMACHAL PRADESH,77.0834903,32.60129662,2.8756993,1210.885024,4376,21,65,1.12,,
HIMACHAL PRADESH,78.06756668,32.37753391,4.091344,1224.483555,5119,21,65,1.12,,
HIMACHAL PRADESH,76.79569534,32.95438626,3.9124293,1238.599389,4837,21,65,1.12,,
HIMACHAL PRADESH,77.27792696,32.76181913,5.31327,1234.040882,4653,21,65,1.12,,
HIMACHAL PRADESH,77.73793976,32.34349733,4.8287377,1207.979084,5883,21,65,1.12,,
HIMACHAL PRADESH,77.58724025,32.24332385,2.7664335,1192.058682,4581,21,65,1.12,,
HIMACHAL PRADESH,78.38831652,32.25906642,4.280623,1226.196914,4794,21,65,1.12,,
HIMACHAL PRADESH,78.43126861,32.45821923,5.8392344,1247.687808,5098,21,65,1.12,,
HIMACHAL PRADESH,78.42211015,32.29806441,7.0878367,1231.500844,5403,21,65,1.12,,
HIMACHAL PRADESH,77.92977639,32.05328484,6.61595,1186.450974,4781,21,65,1.12,,
HIMACHAL PRADESH,78.30388892,32.01587723,3.2861996,1198.592549,4789,21,65,1.12,,
HIMACHAL PRADESH,78.35808298,31.97343401,8.032196,1196.807521,5943,21,65,1.12,,
HIMACHAL PRADESH,77.10857419,32.74483335,2.0914884,1226.610976,4557,21,65,1.12,,
HIMACHAL PRADESH,76.99737785,32.80804049,9.043592,1229.581317,5436,21,65,1.12,,
HIMACHAL PRADESH,77.53506993,32.38243141,5.2370353,1204.248787,4829,21,65,1.12,,
HIMACHAL PRADESH,77.45437703,32.75019849,12.426442,1238.961594,5560,21,65,1.12,,
HIMACHAL PRADESH,76.52053195,32.8231477,3.14944,1216.711021,4274,21,65,1.12,,
HIMACHAL PRADESH,77.59432913,32.81141048,5.165119,1250.230872,5085,21,65,1.12,,
